analysis_id,news_id,strike_title,question,answer,sources,confidence,analyzed_at
1860,1,Bharat Bandh 2026: Nationwide Strike by Trade Unions Disrupts Services Across India - The CSR Journal,What is the standard operating procedure for HIGH severity strikes?,"Based on sop_strike_response.txt:

STANDARD OPERATING PROCEDURE
TRANSPORT STRIKE RESPONSE
Version 1.3 | India Transport Monitoring System

SOP-001: IMMEDIATE RESPONSE TO TRANSPORT STRIKE

TRIGGER: Strike news detected OR strike confirmed

STEP 1: VERIFY (0-15 minutes)
□ Check official union/government sources
□ Cross-verify with 2+ news sources
□ Confirm affected cities and routes
□ Assess number of vehicles/workers involved
□ Determine if political or economic cause

STEP 2: CLASSIFY PRIORITY (15-30 minutes)
□ Apply SLA priority...

Top sources:
- sop_strike_response.txt (sop) | similarity: 0.48
- resolution_logs_2023.txt (resolution_log) | similarity: 0.45
- resolution_logs_2023.txt (resolution_log) | similarity: 0.45","[{""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.4835572476911066, ""chunk_id"": ""sop_strike_response.txt_0""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.44990710745929247, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.44865891301055055, ""chunk_id"": ""resolution_logs_2023.txt_6""}, {""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.4481229986038038, ""chunk_id"": ""kedb_2024.txt_2""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.439997834788487, ""chunk_id"": ""sla_2024.txt_2""}]",0.4835572476911066,2026-08-21T10:14:57.672711
1859,1,Bharat Bandh 2026: Nationwide Strike by Trade Unions Disrupts Services Across India - The CSR Journal,What are past resolutions for strikes in National/Unknown?,"Based on kedb_2024.txt:

 2022: 1-day strike, resolved via negotiation

═══════════════════════════════════════════════════════
KEDB-002 | Truck Strike - National
═══════════════════════════════════════════════════════
Error ID        : KEDB-002
Category        : Truck/Lorry Strike
Affected Cities : All major cities
Trigger         : Fuel price hike, toll disputes, new regulations
Frequency       : 1-2 times per year
Typical Duration: 3-7 days
Priority Level  : P1

Root Cause:
All India Motor Transport Congress (AIMTC) ...

Top sources:
- kedb_2024.txt (kedb) | similarity: 0.49
- resolution_logs_2023.txt (resolution_log) | similarity: 0.49
- resolution_logs_2023.txt (resolution_log) | similarity: 0.47","[{""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.4926471805980144, ""chunk_id"": ""kedb_2024.txt_3""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.48647575945436083, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.46839213216321957, ""chunk_id"": ""resolution_logs_2023.txt_6""}, {""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.4571512278318433, ""chunk_id"": ""kedb_2024.txt_2""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.45468642136337933, ""chunk_id"": ""resolution_logs_2023.txt_0""}]",0.4926471805980144,2026-08-21T10:14:57.638830
1858,1,Bharat Bandh 2026: Nationwide Strike by Trade Unions Disrupts Services Across India - The CSR Journal,What is the SLA for handling bandh strikes?,"Based on resolution_logs_2023.txt:

Day 0 18:00: Bandh ends as scheduled
Day 0 20:00: Normal operations resumed

Resolution Time: 18 hours (as expected, single day)
SLA Compliance: YES
Pre-warning: 48 hours advance notice available
Team: National coordination team

Lessons Learned:
- 48-hour advance notice allows excellent preparation
- Pre-declared WFH was very effective
- Essential services exemption process worked well

════════════════════════════════════════════════════════
LOG-2023-005 | Mumbai Floods - Weather
═════════════...

Top sources:
- resolution_logs_2023.txt (resolution_log) | similarity: 0.52
- resolution_logs_2023.txt (resolution_log) | similarity: 0.51
- sop_strike_response.txt (sop) | similarity: 0.48","[{""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.5163049890662432, ""chunk_id"": ""resolution_logs_2023.txt_9""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.5051550929919628, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.48469286433934267, ""chunk_id"": ""sop_strike_response.txt_0""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.46884235183967604, ""chunk_id"": ""sla_2024.txt_0""}, {""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.4650561780186739, ""chunk_id"": ""sop_strike_response.txt_1""}]",0.5163049890662432,2026-08-21T10:14:57.605354
1857,2,"Delhi-NCR Transport Strike May Hit Fruit, Vegetable Supply For 3 Days - NDTV",What is the standard operating procedure for LOW severity strikes?,"Based on sop_strike_response.txt:

STANDARD OPERATING PROCEDURE
TRANSPORT STRIKE RESPONSE
Version 1.3 | India Transport Monitoring System

SOP-001: IMMEDIATE RESPONSE TO TRANSPORT STRIKE

TRIGGER: Strike news detected OR strike confirmed

STEP 1: VERIFY (0-15 minutes)
□ Check official union/government sources
□ Cross-verify with 2+ news sources
□ Confirm affected cities and routes
□ Assess number of vehicles/workers involved
□ Determine if political or economic cause

STEP 2: CLASSIFY PRIORITY (15-30 minutes)
□ Apply SLA priority...

Top sources:
- sop_strike_response.txt (sop) | similarity: 0.48
- sla_2024.txt (sla) | similarity: 0.45
- kedb_2024.txt (kedb) | similarity: 0.44","[{""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.47944563001665363, ""chunk_id"": ""sop_strike_response.txt_0""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.4518044233660749, ""chunk_id"": ""sla_2024.txt_3""}, {""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.4448440515143832, ""chunk_id"": ""kedb_2024.txt_2""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.4441707084612941, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.44157164106933444, ""chunk_id"": ""resolution_logs_2023.txt_6""}]",0.47944563001665363,2026-08-21T10:14:57.565046
1856,2,"Delhi-NCR Transport Strike May Hit Fruit, Vegetable Supply For 3 Days - NDTV",What are past resolutions for strikes in Delhi?,"Based on kedb_2024.txt:

 2022: 1-day strike, resolved via negotiation

═══════════════════════════════════════════════════════
KEDB-002 | Truck Strike - National
═══════════════════════════════════════════════════════
Error ID        : KEDB-002
Category        : Truck/Lorry Strike
Affected Cities : All major cities
Trigger         : Fuel price hike, toll disputes, new regulations
Frequency       : 1-2 times per year
Typical Duration: 3-7 days
Priority Level  : P1

Root Cause:
All India Motor Transport Congress (AIMTC) ...

Top sources:
- kedb_2024.txt (kedb) | similarity: 0.58
- resolution_logs_2023.txt (resolution_log) | similarity: 0.55
- resolution_logs_2023.txt (resolution_log) | similarity: 0.55","[{""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.581026992593551, ""chunk_id"": ""kedb_2024.txt_3""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.5537768966342206, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.5479500052109613, ""chunk_id"": ""resolution_logs_2023.txt_6""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.5465540304884418, ""chunk_id"": ""resolution_logs_2023.txt_3""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.5341392129639461, ""chunk_id"": ""resolution_logs_2023.txt_2""}]",0.581026992593551,2026-08-21T10:14:57.516113
1855,2,"Delhi-NCR Transport Strike May Hit Fruit, Vegetable Supply For 3 Days - NDTV",What is the SLA for handling general strikes?,"Based on sop_strike_response.txt:

STANDARD OPERATING PROCEDURE
TRANSPORT STRIKE RESPONSE
Version 1.3 | India Transport Monitoring System

SOP-001: IMMEDIATE RESPONSE TO TRANSPORT STRIKE

TRIGGER: Strike news detected OR strike confirmed

STEP 1: VERIFY (0-15 minutes)
□ Check official union/government sources
□ Cross-verify with 2+ news sources
□ Confirm affected cities and routes
□ Assess number of vehicles/workers involved
□ Determine if political or economic cause

STEP 2: CLASSIFY PRIORITY (15-30 minutes)
□ Apply SLA priority...

Top sources:
- sop_strike_response.txt (sop) | similarity: 0.49
- resolution_logs_2023.txt (resolution_log) | similarity: 0.49
- sla_2024.txt (sla) | similarity: 0.48","[{""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.48930467309257336, ""chunk_id"": ""sop_strike_response.txt_0""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.4873795961015247, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.47748854221553994, ""chunk_id"": ""sla_2024.txt_6""}, {""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.4611289540398576, ""chunk_id"": ""sop_strike_response.txt_2""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.46112614035655747, ""chunk_id"": ""sla_2024.txt_0""}]",0.48930467309257336,2026-08-21T10:14:57.453568
1854,3,Day one of transport strike leaves commuters stranded - The Hindu,What is the standard operating procedure for LOW severity strikes?,"Based on sop_strike_response.txt:

STANDARD OPERATING PROCEDURE
TRANSPORT STRIKE RESPONSE
Version 1.3 | India Transport Monitoring System

SOP-001: IMMEDIATE RESPONSE TO TRANSPORT STRIKE

TRIGGER: Strike news detected OR strike confirmed

STEP 1: VERIFY (0-15 minutes)
□ Check official union/government sources
□ Cross-verify with 2+ news sources
□ Confirm affected cities and routes
□ Assess number of vehicles/workers involved
□ Determine if political or economic cause

STEP 2: CLASSIFY PRIORITY (15-30 minutes)
□ Apply SLA priority...

Top sources:
- sop_strike_response.txt (sop) | similarity: 0.48
- sla_2024.txt (sla) | similarity: 0.45
- kedb_2024.txt (kedb) | similarity: 0.44","[{""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.47944563001665363, ""chunk_id"": ""sop_strike_response.txt_0""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.4518044233660749, ""chunk_id"": ""sla_2024.txt_3""}, {""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.4448440515143832, ""chunk_id"": ""kedb_2024.txt_2""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.4441707084612941, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.44157164106933444, ""chunk_id"": ""resolution_logs_2023.txt_6""}]",0.47944563001665363,2026-08-21T10:14:57.429035
1853,3,Day one of transport strike leaves commuters stranded - The Hindu,What are past resolutions for strikes in National/Unknown?,"Based on kedb_2024.txt:

 2022: 1-day strike, resolved via negotiation

═══════════════════════════════════════════════════════
KEDB-002 | Truck Strike - National
═══════════════════════════════════════════════════════
Error ID        : KEDB-002
Category        : Truck/Lorry Strike
Affected Cities : All major cities
Trigger         : Fuel price hike, toll disputes, new regulations
Frequency       : 1-2 times per year
Typical Duration: 3-7 days
Priority Level  : P1

Root Cause:
All India Motor Transport Congress (AIMTC) ...

Top sources:
- kedb_2024.txt (kedb) | similarity: 0.49
- resolution_logs_2023.txt (resolution_log) | similarity: 0.49
- resolution_logs_2023.txt (resolution_log) | similarity: 0.47","[{""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.4926471805980144, ""chunk_id"": ""kedb_2024.txt_3""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.48647575945436083, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.46839213216321957, ""chunk_id"": ""resolution_logs_2023.txt_6""}, {""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.4571512278318433, ""chunk_id"": ""kedb_2024.txt_2""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.45468642136337933, ""chunk_id"": ""resolution_logs_2023.txt_0""}]",0.4926471805980144,2026-08-21T10:14:57.370994
1852,3,Day one of transport strike leaves commuters stranded - The Hindu,What is the SLA for handling general strikes?,"Based on sop_strike_response.txt:

STANDARD OPERATING PROCEDURE
TRANSPORT STRIKE RESPONSE
Version 1.3 | India Transport Monitoring System

SOP-001: IMMEDIATE RESPONSE TO TRANSPORT STRIKE

TRIGGER: Strike news detected OR strike confirmed

STEP 1: VERIFY (0-15 minutes)
□ Check official union/government sources
□ Cross-verify with 2+ news sources
□ Confirm affected cities and routes
□ Assess number of vehicles/workers involved
□ Determine if political or economic cause

STEP 2: CLASSIFY PRIORITY (15-30 minutes)
□ Apply SLA priority...

Top sources:
- sop_strike_response.txt (sop) | similarity: 0.49
- resolution_logs_2023.txt (resolution_log) | similarity: 0.49
- sla_2024.txt (sla) | similarity: 0.48","[{""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.48930467309257336, ""chunk_id"": ""sop_strike_response.txt_0""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.4873795961015247, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.47748854221553994, ""chunk_id"": ""sla_2024.txt_6""}, {""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.4611289540398576, ""chunk_id"": ""sop_strike_response.txt_2""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.46112614035655747, ""chunk_id"": ""sla_2024.txt_0""}]",0.48930467309257336,2026-08-21T10:14:57.342341
1851,4,Transport strike threatens Pakistans industrial activity - The Tribune,What is the standard operating procedure for LOW severity strikes?,"Based on sop_strike_response.txt:

STANDARD OPERATING PROCEDURE
TRANSPORT STRIKE RESPONSE
Version 1.3 | India Transport Monitoring System

SOP-001: IMMEDIATE RESPONSE TO TRANSPORT STRIKE

TRIGGER: Strike news detected OR strike confirmed

STEP 1: VERIFY (0-15 minutes)
□ Check official union/government sources
□ Cross-verify with 2+ news sources
□ Confirm affected cities and routes
□ Assess number of vehicles/workers involved
□ Determine if political or economic cause

STEP 2: CLASSIFY PRIORITY (15-30 minutes)
□ Apply SLA priority...

Top sources:
- sop_strike_response.txt (sop) | similarity: 0.48
- sla_2024.txt (sla) | similarity: 0.45
- kedb_2024.txt (kedb) | similarity: 0.44","[{""filename"": ""sop_strike_response.txt"", ""category"": ""sop"", ""similarity"": 0.47944563001665363, ""chunk_id"": ""sop_strike_response.txt_0""}, {""filename"": ""sla_2024.txt"", ""category"": ""sla"", ""similarity"": 0.4518044233660749, ""chunk_id"": ""sla_2024.txt_3""}, {""filename"": ""kedb_2024.txt"", ""category"": ""kedb"", ""similarity"": 0.4448440515143832, ""chunk_id"": ""kedb_2024.txt_2""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.4441707084612941, ""chunk_id"": ""resolution_logs_2023.txt_7""}, {""filename"": ""resolution_logs_2023.txt"", ""category"": ""resolution_log"", ""similarity"": 0.44157164106933444, ""chunk_id"": ""resolution_logs_2023.txt_6""}]",0.47944563001665363,2026-08-21T10:14:57.304667
